,center_longitude,center_latitude,group
0,,,0.0
1,,,1.0
2,,,2.0
3,15.759806111453482,46.191104078805424,3.0
4,16.22676111360546,46.30290229295222,4.0
5,16.676440078432048,46.28968787216436,5.0
6,17.090497690678728,46.16799835777325,6.0
7,,,7.0
8,,,8.0
9,,,9.0
10,,,10.0
11,,,11.0
12,,,12.0
13,,,13.0
14,15.740066976297319,45.939564910328826,14.0
15,16.162605543275106,45.961071576106164,15.0
16,16.76393168808457,45.965871749903876,16.0
17,17.321287996425312,45.897934870079446,17.0
18,17.879263860601387,45.783604214707104,18.0
19,18.7185173640982,45.823459514835015,19.0
20,18.88432067338507,45.84040213613753,20.0
21,,,21.0
22,13.795476135734381,45.42155951369603,22.0
23,14.41558641999706,45.45613051661563,23.0
24,14.941534484303185,45.424312682631516,24.0
25,15.571581843633977,45.55720523205693,25.0
26,16.167254322978028,45.58861539741993,26.0
27,16.79064662350972,45.56514794770252,27.0
28,17.32025276658957,45.57394208307907,28.0
29,17.949405673707723,45.569267358227044,29.0
30,18.56013965324123,45.5589370607197,30.0
31,18.937839230992157,45.484105374662356,31.0
32,,,32.0
33,13.844920521298933,45.1857821976539,33.0
34,14.298003836700616,45.235827703300934,34.0
35,14.996158526617142,45.183101207460375,35.0
36,15.567355019282042,45.21139769383156,36.0
37,16.21875547696826,45.246208694944364,37.0
38,16.746727458354,45.29445822934698,38.0
39,17.390824355444476,45.256191012583876,39.0
40,17.93598680424923,45.224341934942686,40.0
41,18.553581706118443,45.223247036071996,41.0
42,19.046913939328892,45.212066040517925,42.0
43,,,43.0
44,13.915855093302659,44.900326774980996,44.0
45,14.123931524554584,44.970953990508434,45.0
46,15.093642773867375,44.79965111694747,46.0
47,15.507006493375494,44.76500581045601,47.0
48,15.952796668750802,44.634443804075545,48.0
49,,,49.0
50,,,50.0
51,,,51.0
52,18.814622869550522,44.91487501714757,52.0
53,18.92853310621735,44.91262400877364,53.0
54,,,54.0
55,,,55.0
56,,,56.0
57,15.175711743382422,44.40867603889632,57.0
58,15.569431910992073,44.38198956054497,58.0
59,16.018417246724987,44.40204742065431,59.0
60,,,60.0
61,,,61.0
62,,,62.0
63,,,63.0
64,,,64.0
65,,,65.0
66,,,66.0
67,,,67.0
68,15.239147583056104,44.14084858785925,68.0
69,15.604963292799845,44.02575909097873,69.0
70,16.131411833090205,43.970356738262694,70.0
71,16.555569966758686,43.837944531558044,71.0
72,,,72.0
73,,,73.0
74,,,74.0
75,,,75.0
76,,,76.0
77,,,77.0
78,,,78.0
79,,,79.0
80,15.780929181894505,43.76774334260506,80.0
81,16.16995026373688,43.6471713839484,81.0
82,16.754563136717447,43.56545787224134,82.0
83,17.16340368324845,43.455099715985085,83.0
84,,,84.0
85,,,85.0
86,,,86.0
87,,,87.0
88,,,88.0
89,,,89.0
90,,,90.0
91,,,91.0
92,,,92.0
93,16.999991300403046,43.343462282187616,93.0
94,17.312042595995486,43.20704433381154,94.0
95,17.67310330531244,43.02307954587378,95.0
96,,,96.0
97,,,97.0
98,,,98.0
99,,,99.0
100,,,100.0
101,,,101.0
102,,,102.0
103,,,103.0
104,17.0276786,43.003965199999996,104.0
105,17.42929183597096,42.94924992122962,105.0
106,17.904846007735625,42.78075043425047,106.0
107,,,107.0
108,,,108.0
109,,,109.0
110,,,110.0
111,,,111.0
112,,,112.0
113,,,113.0
114,,,114.0
115,,,115.0
116,,,116.0
117,18.243627326367935,42.58300764107916,117.0
118,18.358992068957683,42.52907609893716,118.0
119,,,119.0
120,,,120.0
